index,merging steps,merged documents,avg doc size,total docs size,avg num of nodes per doc,total num of nodes in docs,num of nodes in merged doc,avg num of statements per doc,total num of statements in docs,statements in merged doc,total runtime,time for downloading
0,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,24672.0,16578.0
1,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,21734.0,19609.0
2,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,20141.0,15625.0
3,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,25453.0,24672.0
4,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,25985.0,19625.0
5,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,83375.0,16109.0
6,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,26438.0,15484.0
7,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,21250.0,16266.0
8,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,21156.0,16250.0
9,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,25094.0,16313.0
10,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,21140.0,26094.0
11,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,21437.0,20094.0
12,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,26578.0,19313.0
13,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,21469.0,16875.0
14,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,23610.0,15656.0
15,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,23313.0,20250.0
16,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,20219.0,14421.0
17,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,18984.0,13781.0
18,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,21172.0,14125.0
19,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,21157.0,14422.0
20,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,20765.0,14485.0
21,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,23313.0,15703.0
22,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,24484.0,15375.0
23,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,18125.0,12000.0
24,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,16172.0,16469.0
25,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,22813.0,24171.0
26,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,16968.0,15016.0
