index,merging steps,merged documents,avg doc size,total docs size,avg num of nodes per doc,total num of nodes in docs,num of nodes in merged doc,avg num of statements per doc,total num of statements in docs,statements in merged doc,total runtime,time for downloading
0,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,8766.0,6046.0
1,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,6984.0,6953.0
2,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5938.0,5609.0
3,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4828.0,5047.0
4,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5421.0,6125.0
5,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4719.0,6125.0
6,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5297.0,7094.0
7,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,6750.0,6063.0
8,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,7079.0,7015.0
9,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,6969.0,5828.0
10,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,6625.0,6453.0
11,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5453.0,5906.0
12,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5859.0,5407.0
13,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5375.0,5796.0
14,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,9407.0,5843.0
15,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5781.0,5266.0
16,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5344.0,6250.0
17,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5250.0,6687.0
18,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5563.0,6656.0
19,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,6344.0,5687.0
20,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,6484.0,6328.0
21,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5047.0,6156.0
22,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5766.0,6375.0
23,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5156.0,5328.0
24,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4891.0,5453.0
