index,merging steps,merged documents,avg doc size,total docs size,avg num of nodes per doc,total num of nodes in docs,num of nodes in merged doc,avg num of statements per doc,total num of statements in docs,statements in merged doc,total runtime,time for downloading
0,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,12312.0,4735.0
1,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5203.0,4922.0
2,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4484.0,4609.0
3,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,7359.0,4657.0
4,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4875.0,5093.0
5,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5562.0,5110.0
6,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5812.0,4688.0
7,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4797.0,4391.0
8,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4359.0,4735.0
9,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4672.0,4516.0
10,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4454.0,4234.0
11,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4234.0,4344.0
12,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4422.0,4203.0
13,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4718.0,5219.0
14,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4078.0,4391.0
15,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4109.0,4422.0
16,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4515.0,4891.0
17,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5094.0,5156.0
18,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4485.0,4281.0
19,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4250.0,4172.0
20,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,7406.0,4156.0
21,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4437.0,4219.0
22,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,3906.0,4219.0
23,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4735.0,4359.0
24,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,3906.0,4094.0
25,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4328.0,4516.0
26,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4234.0,5703.0
27,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4281.0,4391.0
28,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4156.0,4735.0
